Date,Time,Latitude,Longitude
2013-05-03,06:15:24,35.94178,-5.77259
2013-05-03,06:20:24,35.94215,-5.77444
2013-05-03,06:25:08,35.94246,-5.77606
2013-05-03,06:30:08,35.94264,-5.77777
2013-05-03,06:35:09,35.9429,-5.77916
2013-05-03,06:40:09,35.943,-5.78067
2013-05-03,06:45:09,35.94324,-5.78226
2013-05-03,06:50:09,35.94337,-5.78389
2013-05-03,06:55:10,35.94342,-5.78528
2013-05-03,06:58:54,35.94335,-5.78621
2013-05-03,07:00:10,35.9433,-5.78651
2013-05-03,07:05:10,35.94303,-5.78761
2013-05-03,07:10:10,35.9428,-5.78922
2013-05-03,07:15:11,35.94261,-5.79061
2013-05-03,07:20:11,35.94253,-5.79152
2013-05-03,07:25:11,35.9423,-5.79271
2013-05-03,07:30:11,35.94221,-5.79415
2013-05-03,07:35:11,35.94234,-5.79554
2013-05-03,07:40:12,35.94287,-5.79702
2013-05-03,07:45:12,35.9432,-5.79838
2013-05-03,07:50:12,35.94327,-5.79936
2013-05-03,07:55:12,35.94308,-5.7999
2013-05-03,08:00:13,35.94272,-5.80053
2013-05-03,08:05:13,35.94239,-5.80104
2013-05-03,08:10:13,35.94214,-5.80167
2013-05-03,08:15:13,35.94184,-5.80244
2013-05-03,08:20:13,35.94145,-5.80304
2013-05-03,08:25:14,35.94094,-5.80354
2013-05-03,08:30:14,35.94046,-5.80383
2013-05-03,08:35:14,35.93981,-5.8042
2013-05-03,08:40:14,35.93935,-5.80445
2013-05-03,08:45:15,35.93902,-5.80485
2013-05-03,08:50:15,35.93858,-5.80517
2013-05-03,08:55:15,35.9379,-5.80542
2013-05-03,09:00:15,35.93732,-5.80541
2013-05-03,09:05:16,35.93687,-5.80527
2013-05-03,09:10:16,35.93641,-5.80506
2013-05-03,09:15:17,35.93596,-5.80468
2013-05-03,09:20:17,35.93558,-5.80432
2013-05-03,09:25:17,35.93496,-5.80394
2013-05-03,09:30:17,35.93443,-5.80369
2013-05-03,09:35:18,35.93378,-5.80352
2013-05-03,09:40:18,35.93305,-5.80324
2013-05-03,09:45:18,35.93238,-5.8029
2013-05-03,09:50:18,35.93191,-5.80256
2013-05-03,09:55:19,35.93148,-5.80212
2013-05-03,10:00:19,35.93099,-5.80153
2013-05-03,10:05:19,35.93042,-5.80096
2013-05-03,10:10:19,35.9297,-5.80046
2013-05-03,10:15:19,35.92912,-5.79982
2013-05-03,10:20:20,35.92864,-5.79918
2013-05-03,10:25:20,35.92825,-5.79854
2013-05-03,10:30:20,35.92793,-5.79808
2013-05-03,10:35:20,35.92758,-5.79747
2013-05-03,10:40:21,35.92717,-5.79666
2013-05-03,10:45:21,35.92648,-5.79575
2013-05-03,10:50:21,35.92598,-5.7949
2013-05-03,10:55:21,35.92567,-5.7941
2013-05-03,11:00:22,35.92511,-5.7932
2013-05-03,11:05:22,35.92461,-5.79223
2013-05-03,11:10:22,35.92428,-5.79118
2013-05-03,11:15:22,35.92406,-5.79006
2013-05-03,11:20:23,35.92402,-5.78882
2013-05-03,11:25:23,35.92395,-5.7875
2013-05-03,11:30:23,35.92389,-5.78625
2013-05-03,11:35:23,35.92385,-5.78493
2013-05-03,11:40:24,35.92395,-5.78347
2013-05-03,11:45:24,35.9242,-5.78201
2013-05-03,11:50:24,35.9244,-5.78056
2013-05-03,11:55:24,35.92451,-5.77905
2013-05-03,12:00:24,35.92454,-5.77764
2013-05-03,12:05:25,35.92449,-5.77611
2013-05-03,12:10:25,35.92437,-5.77464
2013-05-03,12:15:25,35.92397,-5.7734
2013-05-03,12:20:25,35.92372,-5.77198
2013-05-03,12:25:26,35.92372,-5.77038
2013-05-03,12:30:26,35.92362,-5.7688
2013-05-03,12:35:26,35.92349,-5.76737
2013-05-03,12:40:26,35.92339,-5.76592
2013-05-03,12:45:27,35.92334,-5.7646
2013-05-03,12:50:27,35.92317,-5.76331
2013-05-03,12:55:27,35.923,-5.76203
2013-05-03,13:00:27,35.92297,-5.76088
2013-05-03,13:05:28,35.92299,-5.75977
2013-05-03,13:10:28,35.92312,-5.75878
2013-05-03,13:15:28,35.92324,-5.75783
2013-05-03,13:20:28,35.92333,-5.75692
2013-05-03,13:25:29,35.92338,-5.756
2013-05-03,13:30:29,35.9236,-5.75505
2013-05-03,13:35:29,35.92368,-5.75406
2013-05-03,13:40:29,35.92372,-5.75317
2013-05-03,13:45:29,35.92368,-5.75232
2013-05-03,13:50:30,35.92372,-5.75148
2013-05-03,13:55:30,35.9237,-5.75065
2013-05-03,14:00:30,35.92377,-5.74979
2013-05-03,14:05:30,35.92386,-5.74904
2013-05-03,14:10:31,35.924,-5.74836
2013-05-03,14:15:31,35.92412,-5.74772
2013-05-03,14:20:31,35.92418,-5.74715
2013-05-03,14:25:31,35.92425,-5.74659
2013-05-03,14:30:32,35.92431,-5.74596
2013-05-03,14:35:32,35.92434,-5.74529
2013-05-03,14:40:32,35.92452,-5.74457
2013-05-03,14:45:32,35.92468,-5.74364
2013-05-03,14:50:32,35.92482,-5.74276
2013-05-03,14:55:33,35.925,-5.7421
2013-05-03,15:00:33,35.92532,-5.74189
2013-05-03,15:05:33,35.92582,-5.74212
2013-05-03,15:10:33,35.92606,-5.74222
2013-05-03,15:15:34,35.92609,-5.74212
2013-05-03,15:20:34,35.92618,-5.74207
2013-05-03,15:25:34,35.92617,-5.7421
2013-05-03,15:30:34,35.92625,-5.74224
2013-05-03,15:35:35,35.92634,-5.74251
2013-05-03,15:40:35,35.92632,-5.74282
2013-05-03,15:45:35,35.92622,-5.74311
2013-05-03,15:50:35,35.92612,-5.74331
2013-05-03,15:55:35,35.92596,-5.74354
2013-05-03,16:00:36,35.92596,-5.74396
2013-05-03,16:05:36,35.92588,-5.74446
2013-05-03,16:10:36,35.9258,-5.74502
2013-05-03,16:15:36,35.92573,-5.7457
2013-05-03,16:20:37,35.92573,-5.74658
2013-05-03,16:25:37,35.92571,-5.7476
2013-05-03,16:30:37,35.9256,-5.74845
2013-05-03,16:35:37,35.92561,-5.74947
2013-05-03,16:40:38,35.92568,-5.7505
2013-05-03,16:45:38,35.92567,-5.75155
2013-05-03,16:50:38,35.92578,-5.75257
2013-05-03,16:55:38,35.92592,-5.75363
2013-05-03,17:00:39,35.92614,-5.7547
2013-05-03,17:05:39,35.92639,-5.75573
2013-05-03,17:10:39,35.92661,-5.75671
2013-05-03,17:15:39,35.92677,-5.75772
2013-05-03,17:20:39,35.92687,-5.75867
2013-05-03,17:25:40,35.92702,-5.75969
2013-05-03,17:30:40,35.92722,-5.76063
2013-05-03,17:35:40,35.92748,-5.76161
2013-05-03,17:40:41,35.92775,-5.76257
2013-05-03,17:45:41,35.928,-5.7635
2013-05-03,17:50:41,35.92825,-5.7643
