Date,Time,Latitude,Longitude
2013-10-04,07:15:10,35.97905,-5.62046
2013-10-04,07:20:07,35.97377,-5.61621
2013-10-04,07:25:06,35.97437,-5.61272
2013-10-04,07:30:07,35.97485,-5.6096
2013-10-04,07:35:09,35.97527,-5.60641
2013-10-04,07:40:06,35.97586,-5.60341
2013-10-04,07:45:07,35.97656,-5.60027
2013-10-04,07:50:07,35.97701,-5.59707
2013-10-04,07:55:08,35.9775,-5.59374
2013-10-04,08:00:07,35.97844,-5.59072
2013-10-04,08:05:07,35.97929,-5.58789
2013-10-04,08:10:06,35.98018,-5.58528
2013-10-04,08:15:12,35.98106,-5.58249
2013-10-04,08:20:08,35.98202,-5.57947
2013-10-04,08:25:07,35.98291,-5.57632
2013-10-04,08:29:43,35.98366,-5.57352
2013-10-04,08:30:06,35.98373,-5.57326
2013-10-04,08:35:07,35.98463,-5.57047
2013-10-04,08:40:07,35.98575,-5.56784
2013-10-04,08:43:02,35.9866,-5.56636
2013-10-04,08:44:02,35.98689,-5.56586
2013-10-04,08:45:07,35.98723,-5.56527
2013-10-04,08:50:08,35.98852,-5.56258
2013-10-04,08:55:07,35.98953,-5.55987
2013-10-04,09:00:07,35.99042,-5.5572
2013-10-04,09:05:07,35.99134,-5.55443
2013-10-04,09:10:07,35.99228,-5.55174
2013-10-04,09:15:08,35.99324,-5.54891
2013-10-04,09:20:07,35.99415,-5.54594
2013-10-04,09:25:07,35.99508,-5.543
2013-10-04,09:30:07,35.99587,-5.54014
2013-10-04,09:35:07,35.99678,-5.53738
2013-10-04,09:40:07,35.99771,-5.5346
2013-10-04,09:45:07,35.99885,-5.532
2013-10-04,09:50:07,35.99998,-5.52946
2013-10-04,09:55:07,36.00074,-5.5267
2013-10-04,10:00:08,36.00158,-5.52396
2013-10-04,10:05:07,36.00282,-5.5216
2013-10-04,10:10:09,36.0041,-5.51915
2013-10-04,10:15:11,36.0057,-5.51691
2013-10-04,10:20:07,36.00742,-5.51464
2013-10-04,10:25:07,36.00892,-5.51216
2013-10-04,10:29:16,36.00987,-5.51011
2013-10-04,10:30:07,36.01007,-5.50967
2013-10-04,10:35:07,36.01109,-5.50738
2013-10-04,10:40:09,36.01226,-5.50496
2013-10-04,10:42:46,36.01298,-5.50365
2013-10-04,10:45:08,36.01367,-5.50243
2013-10-04,10:50:08,36.01509,-5.49965
2013-10-04,10:55:08,36.01651,-5.49677
2013-10-04,11:00:07,36.0178,-5.49391
2013-10-04,11:05:07,36.019,	-5.49092
2013-10-04,11:10:08,36.0203,-5.48792
2013-10-04,11:15:07,36.02158,-5.48513
2013-10-04,11:20:08,36.02308,-5.4826
2013-10-04,11:25:10,36.02516,-5.48029
2013-10-04,11:30:07,36.02695,-5.4789
2013-10-04,11:35:08,36.02868,-5.47822
2013-10-04,11:40:08,36.03016,-5.47754
2013-10-04,11:45:08,36.03174,-5.47634
2013-10-04,11:50:09,36.03295,-5.47592
2013-10-04,11:55:08,36.03396,-5.47567
2013-10-04,12:00:08,36.03509,-5.4751
2013-10-04,12:05:08,36.03618,-5.47449
2013-10-04,12:10:08,36.03721,-5.47351
2013-10-04,12:15:08,36.03822,-5.47241
2013-10-04,12:20:09,36.03929,-5.47121
2013-10-04,12:25:07,36.04022,-5.47009
2013-10-04,12:30:08,36.04119,-5.46855
2013-10-04,12:35:08,36.04199,-5.46742
2013-10-04,12:40:08,36.04281,-5.46634
2013-10-04,12:45:08,36.04362,-5.46481
2013-10-04,12:50:08,36.04464,-5.46275
2013-10-04,12:55:08,36.04593,-5.46021
2013-10-04,13:00:08,36.04708,-5.45744
2013-10-04,13:05:08,36.0486,-5.45459
2013-10-04,13:10:08,36.05045,-5.45176
2013-10-04,13:15:09,36.05241,-5.44887
2013-10-04,13:20:08,36.05427,-5.44611
2013-10-04,13:25:09,36.05595,-5.44342
2013-10-04,13:31:02,36.05803,-5.44113
2013-10-04,13:35:41,36.06048,-5.43891
2013-10-04,13:40:30,36.06286,-5.4367
2013-10-04,13:45:40,36.06484,-5.43359
2013-10-04,13:50:30,36.06617,-5.43109
2013-10-04,13:55:16,36.06681,-5.43064
2013-10-04,14:00:36,36.06735,-5.43041
2013-10-04,14:06:08,36.06773,-5.42974
2013-10-04,14:10:31,36.06833,-5.42915
2013-10-04,14:15:15,36.06891,-5.42836
2013-10-04,14:21:04,36.06954,-5.4278
2013-10-04,15:05:37,36.07038,-5.42708
2013-10-04,15:05:35,36.07119,-5.42656
2013-10-04,15:05:32,36.07206,-5.42594
2013-10-04,15:05:28,36.07296,-5.42518
2013-10-04,15:05:26,36.07386,-5.42441
2013-10-04,15:05:22,36.07468,-5.42355
2013-10-04,15:05:19,36.07535,-5.42286
2013-10-04,15:05:15,36.0761,-5.42227
2013-10-04,15:05:11,36.07688,-5.42164
