Date,Time,Latitude,Longitude
2012-02-08,09:04:28,35.98864,-5.511
2012-02-08,09:14:28,35.99142,-5.50409
2012-02-08,09:24:28,35.99397,-5.49756
2012-02-08,09:34:28,35.99568,-5.49147
2012-02-08,09:44:28,35.99735,-5.48605
2012-02-08,09:54:28,35.99823,-5.48022
2012-02-08,10:04:28,35.9989,-5.47369
2012-02-08,10:14:28,36.00009,-5.46726
2012-02-08,10:24:28,36.00213,-5.46046
2012-02-08,10:34:28,36.00473,-5.45459
2012-02-08,10:44:28,36.00856,-5.45027
2012-02-08,10:54:28,36.0113,-5.44584
2012-02-08,11:04:28,36.01377,-5.44103
2012-02-08,11:14:28,36.01683,-5.43719
2012-02-08,11:24:28,36.01908,-5.43233
2012-02-08,11:34:28,36.01954,-5.42724
2012-02-08,11:44:28,36.02006,-5.42255
2012-02-08,11:54:28,36.01998,-5.41753
2012-02-08,12:04:28,36.01998,-5.41708
2012-02-08,12:06:13,36.01899,-5.41029
2012-02-08,12:14:28,36.0183,-5.4049
2012-02-08,12:24:28,36.01682,-5.39837
2012-02-08,12:34:28,36.01509,-5.39095
2012-02-08,12:44:28,36.01333,-5.38359
