Date,Time,Latitude,Longitude
2014-01-10,08:48:15,36.02999,-5.68594
2014-01-10,08:48:12,36.02977,-5.68625
2014-01-10,08:53:12,36.02929,-5.68674
2014-01-10,08:58:13,36.02871,-5.68717
2014-01-10,09:03:14,36.02808,-5.68763
2014-01-10,09:08:12,36.02732,-5.68797
2014-01-10,09:13:13,36.02633,-5.68828
2014-01-10,09:18:12,36.02523,-5.68842
2014-01-10,09:23:12,36.02411,-5.68857
2014-01-10,09:28:13,36.02299,-5.68873
2014-01-10,09:33:13,36.02163,-5.68892
2014-01-10,09:38:13,36.02028,-5.68898
2014-01-10,09:43:13,36.01892,-5.68899
2014-01-10,09:48:12,36.01737,-5.6889
2014-01-10,09:53:13,36.01581,-5.68879
2014-01-10,09:58:13,36.01432,-5.6887
2014-01-10,10:03:14,36.01304,-5.68856
2014-01-10,10:08:13,36.01188,-5.68858
2014-01-10,10:13:13,36.01073,-5.68862
2014-01-10,10:18:13,36.00979,-5.68854
2014-01-10,10:23:13,36.00896,-5.689
2014-01-10,10:28:13,36.00795,-5.68918
2014-01-10,10:33:13,36.00761,-5.68932
2014-01-10,10:38:17,36.00735,-5.68976
2014-01-10,10:43:13,36.00727,-5.69066
2014-01-10,10:48:13,36.0074,-5.69135
2014-01-10,10:53:13,36.00776,-5.69249
2014-01-10,10:58:18,36.00833,-5.69368
2014-01-10,11:03:19,36.00876,-5.69494
2014-01-10,11:08:13,36.00891,-5.69618
2014-01-10,11:13:13,36.00871,-5.69746
2014-01-10,11:18:14,36.00841,-5.69871
2014-01-10,11:23:14,36.0079,-5.70025
2014-01-10,11:28:14,36.00735,-5.70189
2014-01-10,11:33:14,36.00672,-5.70319
2014-01-10,11:38:12,36.00626,-5.70458
2014-01-10,11:43:13,36.00551,-5.70545
2014-01-10,11:48:14,36.00442,-5.70589
2014-01-10,11:53:12,36.0034,-5.70617
2014-01-10,11:58:14,36.00216,-5.70588
2014-01-10,12:03:12,36.0009,-5.70554
2014-01-10,12:08:13,35.99943,-5.70499
2014-01-10,12:13:13,35.99808,-5.7043
2014-01-10,12:18:14,35.99665,-5.70358
2014-01-10,12:23:14,35.99515,-5.70307
2014-01-10,12:28:13,35.99377,-5.7028
2014-01-10,12:33:15,35.99259,-5.7027
2014-01-10,12:38:14,35.99169,-5.70294
2014-01-10,12:43:19,35.99101,-5.70342
2014-01-10,12:48:14,35.99057,-5.70397
2014-01-10,12:53:14,35.99011,-5.70425
2014-01-10,12:58:13,35.98973,-5.70475
2014-01-10,13:03:13,35.98931,-5.70512
2014-01-10,13:08:14,35.98902,-5.70557
2014-01-10,13:13:12,35.98868,-5.70606
2014-01-10,13:18:14,35.98825,-5.70649
2014-01-10,13:23:13,35.98776,-5.70675
2014-01-10,13:28:14,35.98742,-5.70717
2014-01-10,13:33:15,35.98713,-5.70761
2014-01-10,13:38:13,35.98684,-5.70802
2014-01-10,13:43:13,35.98669,-5.7084
2014-01-10,13:48:13,35.98646,-5.70759
2014-01-10,13:53:14,35.98628,-5.70568
2014-01-10,13:58:14,35.98633,-5.70432
2014-01-10,14:03:14,35.98641,-5.70347
2014-01-10,14:08:14,35.98648,-5.70295
2014-01-10,14:13:16,35.98649,-5.70239
2014-01-10,14:18:15,35.98675,-5.70192
2014-01-10,14:23:13,35.98677,-5.70175
2014-01-10,14:28:13,35.9868,-5.7014
2014-01-10,14:33:14,35.98686,-5.70087
2014-01-10,14:38:13,35.987,-5.7003
2014-01-10,14:43:13,35.98706,-5.70026
2014-01-10,14:48:14,35.987,-5.7001
2014-01-10,14:53:14,35.98702,-5.69984
2014-01-10,14:58:14,35.98687,-5.69971
2014-01-10,15:03:15,35.98675,-5.69872
2014-01-10,15:08:13,35.98673,-5.69785
2014-01-10,15:13:13,35.98666,-5.69706
2014-01-10,15:18:14,35.98638,-5.69622
2014-01-10,15:23:16,35.98626,-5.69526
2014-01-10,15:28:13,35.98604,-5.69405
2014-01-10,15:33:16,35.98597,-5.69317
2014-01-10,15:38:17,35.98591,-5.69232
2014-01-10,15:43:13,35.98554,-5.69155
2014-01-10,15:48:16,35.98522,-5.69031
2014-01-10,15:53:14,35.98518,-5.68952
2014-01-10,15:58:15,35.98535,-5.68932
2014-01-10,16:03:18,35.98566,-5.68999
2014-01-10,16:08:15,35.98594,-5.69105
2014-01-10,16:13:14,35.98621,-5.69185
2014-01-10,16:18:14,35.98632,-5.69232
2014-01-10,16:23:16,35.98622,-5.69251
2014-01-10,16:28:14,35.98616,-5.69264
