Date,Time,Latitude,Longitude
2014-03-14,08:16:12,36.00084,-5.6253
2014-03-14,08:21:11,36.00728,-5.65476
2014-03-14,08:26:08,36.01533,-5.68532
2014-03-14,08:31:08,36.02159,-5.70917
2014-03-14,08:36:11,36.02261,-5.71239
2014-03-14,08:41:09,36.02353,-5.7151
2014-03-14,08:46:08,36.02509,-5.71733
2014-03-14,08:51:09,36.02627,-5.71923
2014-03-14,08:56:08,36.02686,-5.72058
2014-03-14,09:01:09,36.02736,-5.72189
2014-03-14,09:07:12,36.02776,-5.72356
2014-03-14,09:12:15,36.02811,-5.72488
2014-03-14,09:17:12,36.02843,-5.72623
2014-03-14,09:22:12,36.02861,-5.72754
2014-03-14,09:27:11,36.02872,-5.72872
2014-03-14,09:32:12,36.02884,-5.72989
2014-03-14,09:37:13,36.02889,-5.73115
2014-03-14,09:42:12,36.02899,-5.73249
2014-03-14,09:47:11,36.02906,-5.73398
2014-03-14,09:52:11,36.02912,-5.73549
2014-03-14,09:57:11,36.02923,-5.73673
2014-03-14,10:02:12,36.02921,-5.73787
2014-03-14,10:07:12,36.02906,-5.73903
2014-03-14,10:12:13,36.02898,-5.74015
2014-03-14,10:17:12,36.02892,-5.74108
2014-03-14,10:22:12,36.02886,-5.74202
2014-03-14,10:27:12,36.02873,-5.74272
2014-03-14,10:32:12,36.02857,-5.74333
2014-03-14,10:37:15,36.02839,-5.74383
2014-03-14,10:42:13,36.02809,-5.74427
2014-03-14,10:47:18,36.02772,-5.74459
2014-03-14,10:52:20,36.0273,-5.74486
2014-03-14,10:57:11,36.02679,-5.74511
2014-03-14,11:02:16,36.0263,-5.74539
2014-03-14,11:07:19,36.02572,-5.7457
2014-03-14,11:12:11,36.02507,-5.7459
2014-03-14,11:17:12,36.02437,-5.74615
2014-03-14,11:22:13,36.02362,-5.74644
2014-03-14,11:27:13,36.02283,-5.74677
2014-03-14,11:32:17,36.02198,-5.74705
2014-03-14,11:37:12,36.02112,-5.74729
2014-03-14,11:42:12,36.0202,-5.74753
2014-03-14,11:47:12,36.01926,-5.74769
2014-03-14,11:52:12,36.01836,-5.74779
2014-03-14,11:57:11,36.01757,-5.74786
2014-03-14,12:02:15,36.01674,-5.74784
2014-03-14,12:07:13,36.0159,-5.74779
2014-03-14,12:12:12,36.01505,-5.74771
2014-03-14,12:17:14,36.01422,-5.74774
2014-03-14,12:22:13,36.01342,-5.7476
2014-03-14,12:27:12,36.01261,-5.74723
2014-03-14,12:32:14,36.01173,-5.74691
2014-03-14,12:37:16,36.0109,-5.7467
2014-03-14,12:42:14,36.01004,-5.74662
2014-03-14,12:47:13,36.00932,-5.74659
2014-03-14,12:52:13,36.00871,-5.74651
2014-03-14,12:57:13,36.00828,-5.7463
2014-03-14,13:02:14,36.00785,-5.74606
2014-03-14,13:07:13,36.0073,-5.74565
2014-03-14,13:12:13,36.00658,-5.74516
2014-03-14,13:17:13,36.00562,-5.74451
2014-03-14,13:22:12,36.00441,-5.74369
2014-03-14,13:27:14,36.00292,-5.74265
2014-03-14,13:32:13,36.00091,-5.74091
2014-03-14,13:37:14,35.99871,-5.739
2014-03-14,13:42:13,35.99627,-5.73706
2014-03-14,13:47:13,35.99403,-5.73518
2014-03-14,13:52:14,35.99167,-5.73308
2014-03-14,13:57:14,35.9895,-5.73088
2014-03-14,14:02:13,35.98737,-5.72848
2014-03-14,14:07:13,35.98518,-5.72579
2014-03-14,14:12:14,35.98317,-5.72325
2014-03-14,14:17:14,35.98119,-5.72068
2014-03-14,14:22:13,35.97917,-5.71802
2014-03-14,14:27:15,35.97719,-5.71539
2014-03-14,14:32:15,35.97519,-5.71253
2014-03-14,14:37:15,35.973,-5.70958
2014-03-14,14:42:18,35.97093,-5.70629
2014-03-14,14:47:14,35.96942,-5.70247
2014-03-14,14:52:14,35.96809,-5.69819
2014-03-14,14:57:13,35.96629,-5.69433
2014-03-14,15:02:13,35.96433,-5.69122
2014-03-14,15:07:14,35.96284,-5.68829
2014-03-14,15:12:14,35.96213,-5.68524
2014-03-14,15:17:13,35.96087,-5.68249
2014-03-14,15:22:13,35.95884,-5.6802
2014-03-14,15:27:13,35.95761,-5.67779
2014-03-14,15:32:13,35.95684,-5.67507
2014-03-14,15:37:15,35.95584,-5.67285
2014-03-14,15:42:14,35.95478,-5.67085
2014-03-14,15:47:14,35.9543,-5.6689
2014-03-14,15:52:14,35.95427,-5.667
2014-03-14,15:57:14,35.95473,-5.66506
2014-03-14,16:02:14,35.95536,-5.66301
2014-03-14,16:07:13,35.95577,-5.66079
2014-03-14,16:12:14,35.9561,-5.65882
2014-03-14,16:17:14,35.95618,-5.65711
2014-03-14,16:22:14,35.95597,-5.65524
2014-03-14,16:27:13,35.9579,-5.64822
2014-03-14,16:32:13,35.98188,-5.64096
2014-03-14,16:37:13,35.99892,-5.60929
2014-03-14,16:42:14,36.00932,-5.60455
2014-03-14,16:47:12,36.00937,-5.60451
2014-03-14,16:52:15,36.01047,-5.60498
