Date,Time,Latitude,Longitude
2012-06-15,06:36:12,36.00861,-5.60268
2012-06-15,06:41:12,36.00851,-5.60319
2012-06-15,06:46:12,36.0079,-5.60286
2012-06-15,06:51:12,35.99865,-5.60526
2012-06-15,06:56:12,35.99445,-5.6164
2012-06-15,07:01:12,35.99209,-5.64206
2012-06-15,07:06:12,35.98773,-5.66984
2012-06-15,07:11:12,35.98379,-5.69754
2012-06-15,07:16:12,35.97763,-5.72525
2012-06-15,07:21:12,35.97473,-5.75043
2012-06-15,07:26:12,35.97463,-5.75264
2012-06-15,07:31:12,35.97459,-5.75551
2012-06-15,07:36:12,35.9744,-5.75792
2012-06-15,07:41:12,35.97463,-5.76034
2012-06-15,07:46:12,35.97487,-5.76273
2012-06-15,07:51:12,35.97555,-5.76564
2012-06-15,07:56:12,35.97613,-5.76843
2012-06-15,08:01:12,35.97656,-5.77085
2012-06-15,08:06:12,35.97674,-5.77298
2012-06-15,08:11:12,35.97694,-5.7749
2012-06-15,08:16:12,35.97703,-5.77671
2012-06-15,08:21:12,35.97717,-5.77866
2012-06-15,08:21:34,35.9772,-5.77885
2012-06-15,08:26:12,35.97773,-5.78106
2012-06-15,08:31:12,35.97837,-5.78353
2012-06-15,08:36:12,35.97885,-5.78585
2012-06-15,08:41:12,35.97935,-5.78782
2012-06-15,08:46:12,35.98009,-5.78966
2012-06-15,08:51:12,35.98055,-5.79136
2012-06-15,08:56:12,35.98085,-5.79293
2012-06-15,09:01:12,35.98102,-5.79438
2012-06-15,09:06:12,35.98123,-5.79576
2012-06-15,09:11:12,35.98125,-5.79689
2012-06-15,09:16:12,35.98121,-5.79788
2012-06-15,09:21:12,35.98116,-5.79888
2012-06-15,09:26:12,35.98109,-5.79989
2012-06-15,09:31:12,35.98086,-5.80051
2012-06-15,09:31:34,35.98083,-5.80055
2012-06-15,09:36:12,35.98046,-5.80101
2012-06-15,09:41:12,35.9801,-5.80127
2012-06-15,09:46:12,35.97978,-5.80144
2012-06-15,09:51:12,35.97944,-5.80186
2012-06-15,09:56:12,35.97921,-5.80258
2012-06-15,10:01:12,35.97883,-5.80312
2012-06-15,10:06:12,35.97839,-5.80346
2012-06-15,10:11:12,35.97808,-5.80381
2012-06-15,10:16:12,35.97767,-5.80406
2012-06-15,10:21:12,35.9773,-5.80437
2012-06-15,10:26:12,35.97698,-5.80476
2012-06-15,10:31:12,35.97647,-5.805
2012-06-15,10:36:12,35.97595,-5.80512
2012-06-15,10:41:12,35.97548,-5.80528
2012-06-15,10:46:12,35.97502,-5.80561
2012-06-15,10:51:12,35.97458,-5.80579
2012-06-15,10:56:12,35.9742,-5.80586
2012-06-15,10:56:29,35.97419,-5.80586
2012-06-15,11:01:12,35.97387,-5.80581
2012-06-15,11:06:12,35.97351,-5.8056
2012-06-15,11:11:12,35.97315,-5.80536
2012-06-15,11:11:34,35.97312,-5.80534
2012-06-15,11:16:12,35.97269,-5.80499
2012-06-15,11:21:12,35.97211,-5.80446
2012-06-15,11:26:12,35.97157,-5.80387
2012-06-15,11:31:12,35.97085,-5.80308
2012-06-15,11:36:12,35.97015,-5.80241
2012-06-15,11:41:12,35.96941,-5.80172
2012-06-15,11:41:34,35.96935,-5.80166
2012-06-15,11:46:12,35.96858,-5.80087
2012-06-15,11:51:12,35.96764,-5.79979
2012-06-15,11:56:12,35.96675,-5.7984
